Словникова форма,част. мови,абс. частота,відн. частота
м'ясистий,прикм.,157,14
зажурений,д-прикм.,157,14
відділити,діє. д.в.,157,14
замучений,д-прикм.,157,14
тупик,ім.,157,14
величенький,прикм.,157,14
скандинавський,прикм.,157,14
беззаконня,ім.,157,14
шморгнути,діє. д.в.,157,14
оновлення,ім.,157,14
мірошниченко,ім.,157,14
бульдозер,ім.,156,14
зложений,д-прикм.,156,14
кочерга,ім.,156,14
облізлий,д-прикм.,156,14
ідентичність,ім.,156,14
співчутливий,прикм.,156,14
полірований,д-прикм.,156,14
просвічувати,діє. н.в.,156,14
тесати,діє. н.в.,156,14
оксамитний,прикм.,156,14
романтик,ім.,156,14
накритися,діє. д.в.,156,14
літописний,прикм.,156,14
надутися,діє. д.в.,156,14
пригальмувати,діє. д.в.,156,14
механізатор,ім.,156,14
порубаний,д-прикм.,156,14
зменшення,ім.,156,14
запалення,ім.,156,14
ладнати,діє. н.в.,156,14
тіпатися,діє. н.в.,156,14
плигати,діє. н.в.,156,14
припертися,діє. д.в.,156,14
теплота,ім.,156,14
припас,ім.,156,14
представництво,ім.,156,14
сарказм,ім.,156,14
рівнятися,діє. н.в.,156,14
коромисло,ім.,156,14
заплетений,д-прикм.,156,14
вселитися,діє. д.в.,156,14
відхиляти,діє. н.в.,156,14
скалічити,діє. д.в.,156,14
конус,ім.,156,14
всього-на-всього,частка,156,14
корма,ім.,156,14
шлик,ім.,156,14
шпак,ім.,156,14
найвірніший,прикм.,156,14
воротар,ім.,156,14
риболовля,ім.,156,14
доповнити,діє. д.в.,156,14
коломийський,прикм.,156,14
Бубка,прізв.,156,14
атестат,ім.,156,14
односельчанин,ім.,156,14
карусель,ім.,156,14
об'ява,ім.,156,14
розтрощений,д-прикм.,156,14
армада,ім.,156,14
кмітливість,ім.,156,14
запхнути,діє. д.в.,156,14
окраса,ім.,156,14
рідненький,прикм.,156,14
пір'їна,ім.,156,14
взутий,д-прикм.,156,14
лихоліття,ім.,156,14
увібрати,діє. д.в.,156,14
пушкар,ім.,156,14
загс,ім.,156,14
тонший,прикм.,155,14
парубоцький,прикм.,155,14
недаром,присл.,155,14
щадити,діє. н.в.,155,14
скубти,діє. н.в.,155,14
бурхливо,присл.,155,14
головань,ім.,155,14
нерозумно,присл.,155,14
утримуватися,діє. н.в.,155,14
вилазка,ім.,155,14
зліпити,діє. д.в.,155,14
хилитатися,діє. н.в.,155,14
вояцтво,ім.,155,14
торговець,ім.,155,14
десант,ім.,155,14
вподовж,присл.,155,14
викривати,діє. н.в.,155,14
сивобородий,прикм.,155,14
відстрілюватися,діє. н.в.,155,14
сферичний,прикм.,155,14
ружа,ім.,155,14
прицмокувати,діє. н.в.,155,14
консервний,прикм.,155,14
видаток,ім.,155,14
взаємно,присл.,155,14
вариво,ім.,155,14
непокора,ім.,155,14
задзеленчати,діє. д.в.,155,14
закутатися,діє. д.в.,155,14
ув'язнити,діє. д.в.,155,14
очиститися,діє. д.в.,155,14
галуззя,ім.,155,14
блюзнірство,ім.,155,14
вимучений,д-прикм.,155,14
оголювати,діє. н.в.,155,14
гусінь,ім.,155,14
братан,ім.,155,14
паства,ім.,155,14
сушитися,діє. н.в.,155,14
Осьмачка,прізв.,155,14
скептик,ім.,155,14
соціум,ім.,155,14
найважче,присл.,155,14
розпитування,ім.,155,14
уран,ім.,155,14
довгожданий,прикм.,155,14
тубільний,прикм.,155,14
філолог,ім.,155,14
спотворити,діє. д.в.,155,14
біржа,ім.,155,14
продертися,діє. д.в.,155,14
ескалатор,ім.,155,14
дзенькіт,ім.,155,14
рибалити,діє. н.в.,155,14
затрястися,діє. д.в.,155,14
білковий,прикм.,154,14
видавити,діє. д.в.,154,14
умоститися,діє. д.в.,154,14
відрекомендувати,діє. д.в.,154,14
сколихнутися,діє. д.в.,154,14
адепт,ім.,154,14
дворянство,ім.,154,14
виборний,прикм.,154,14
червонуватий,прикм.,154,14
невидющий,прикм.,154,14
ставок,ім.,154,14
гіркуватий,прикм.,154,14
виграш,ім.,154,14
гальмування,ім.,154,14
вдиратися,діє. н.в.,154,14
цвинтарний,прикм.,154,14
лебідка,ім.,154,14
наконечник,ім.,154,14
розбійницький,прикм.,154,14
кают-компанія,ім.,154,14
пруг,ім.,154,14
сміло,присл.,154,14
арифметика,ім.,154,14
садка,ім.,154,14
радіоприймач,ім.,154,14
новгородець,ім.,154,14
благодійник,ім.,154,14
карикатура,ім.,154,14
запланований,д-прикм.,154,14
згаяти,діє. д.в.,154,14
поплічник,ім.,154,14
ординаторський,прикм.,154,14
статуетка,ім.,154,14
покотом,присл.,154,14
започаткувати,діє. д.в.,154,14
кооперація,ім.,154,14
завищати,діє. д.в.,154,14
тонкощі,ім.,154,14
застромити,діє. д.в.,154,14
втілений,д-прикм.,154,14
притискувати,діє. н.в.,154,14
швейцар,ім.,154,14
лама,ім.,154,14
задовольнятися,діє. н.в.,154,14
кондуктор,ім.,154,14
сердега,ім.,154,14
погукати,діє. д.в.,154,14
коридорчик,ім.,154,14
утрата,ім.,154,14
покірливо,присл.,154,14
шовковиця,ім.,154,14
заквітчаний,д-прикм.,154,14
прославлений,д-прикм.,154,14
Едуард,ім.,154,14
конюший,ім.,154,14
мікроавтобус,ім.,154,14
налаштований,д-прикм.,154,14
нещирий,прикм.,154,14
трошечки,присл.,154,14
інспекція,ім.,154,14
відшукувати,діє. н.в.,153,14
кристалічний,прикм.,153,14
здобутися,діє. д.в.,153,14
проворний,прикм.,153,14
мамонт,ім.,153,14
просування,ім.,153,14
відчуження,ім.,153,14
шахрай,ім.,153,14
хвацький,прикм.,153,14
атлас,ім.,153,14
вовчиця,ім.,153,14
бурмистер,ім.,153,14
психоз,ім.,153,14
відсвяткувати,діє. д.в.,153,14
рубатися,діє. н.в.,153,14
ієрогліф,ім.,153,14
найвидатніший,прикм.,153,14
Донець,ім.,153,14
виштовхнути,діє. д.в.,153,14
розіграти,діє. д.в.,153,14
Гуцульщина,ім.,153,14
хмурий,прикм.,153,14
гладко,присл.,153,14
попутник,ім.,153,14
одужувати,діє. н.в.,153,14
престижний,прикм.,153,14
глей,ім.,153,14
процвітати,діє. н.в.,153,14
розстібати,діє. н.в.,153,14
присвиснути,діє. д.в.,153,14
помірний,прикм.,153,14
чебрець,ім.,153,14
Родіон,ім.,153,14
тітчин,прикм.,153,14
пострибати,діє. д.в.,153,14
загнибіда,ім.,153,14
панахида,ім.,153,14
мах,ім.,153,14
Задорожний,прізв.,153,14
змигнути,діє. д.в.,153,14
каналізація,ім.,153,14
соус,ім.,153,14
спустошення,ім.,153,14
березневий,прикм.,153,14
белькотати,діє. н.в.,153,14
шлагбаум,ім.,153,14
повстяний,прикм.,153,14
становлення,ім.,153,14
комашня,ім.,153,14
Іраклій,ім.,153,14
світіння,ім.,153,14
акурат,присл.,153,14
піфія,ім.,153,14
порожнина,ім.,153,14
розгорятися,діє. н.в.,153,14
невідворотний,прикм.,153,14
далечина,ім.,153,14
допитливість,ім.,153,14
навичка,ім.,153,14
відмітити,діє. д.в.,153,14
гвоздика,ім.,153,14
невідступний,прикм.,153,14
підсунутися,діє. д.в.,153,14
недруг,ім.,153,14
заперти,діє. д.в.,152,14
ходіння,ім.,152,14
підробка,ім.,152,14
втричі,присл.,152,14
тваринка,ім.,152,14
ротмістр,ім.,152,14
весляр,ім.,152,14
високопоставлений,прикм.,152,14
встрявати,діє. н.в.,152,14
непередбачуваний,прикм.,152,14
нацист,ім.,152,14
прискіпливий,прикм.,152,14
трудодень,ім.,152,14
цабе,присл.,152,14
новобранець,ім.,152,14
бойко,ім.,152,14
імітація,ім.,152,14
відносність,ім.,152,14
стюардеса,ім.,152,14
латина,ім.,152,14
приголомшливий,прикм.,152,14
морщити,діє. н.в.,152,14
льоля,ім.,152,14
заправити,діє. д.в.,152,14
хронометр,ім.,152,14
посміх,ім.,152,14
полив'яний,прикм.,152,14
вдавитися,діє. д.в.,152,14
кресати,діє. н.в.,152,14
здійснений,д-прикм.,152,14
надути,діє. д.в.,152,14
погинути,діє. д.в.,152,14
спустошений,д-прикм.,152,14
косяк,ім.,152,14
заїжджий,прикм.,152,14
скуповувати,діє. н.в.,152,14
суперечність,ім.,152,14
Сахара,ім.,152,14
зґрабний,прикм.,152,14
членство,ім.,152,14
союзний,прикм.,152,14
націлений,д-прикм.,152,14
макогін,ім.,152,14
розчепірити,діє. д.в.,152,14
десятеро,кіл. числ.,152,14
альтернативний,прикм.,152,14
виховуватися,діє. н.в.,152,14
мовлення,ім.,152,14
встелений,д-прикм.,152,14
нерівність,ім.,152,14
пещений,д-прикм.,152,14
одрізати,діє. н.в.,152,14
лящати,діє. н.в.,151,14
насадити,діє. д.в.,151,14
наливка,ім.,151,14
спасенний,прикм.,151,14
підсувати,діє. н.в.,151,14
хихикнути,діє. д.в.,151,14
авангард,ім.,151,14
компетенція,ім.,151,14
засліплений,д-прикм.,151,14
корзно,ім.,151,14
розтерзаний,д-прикм.,151,14
маєтність,ім.,151,14
атлантичний,прикм.,151,14
скрипаль,ім.,151,14
ускладнювати,діє. н.в.,151,14
світлішати,діє. н.в.,151,14
обсаджений,д-прикм.,151,14
покрутитися,діє. д.в.,151,14
втягти,діє. д.в.,151,14
оббігти,діє. д.в.,151,14
рало,ім.,151,14
апатія,ім.,151,14
вудочка,ім.,151,14
привчати,діє. н.в.,151,14
перманентний,прикм.,151,14
перебільшений,д-прикм.,151,14
історично,присл.,151,14
пройнятися,діє. д.в.,151,14
приміський,прикм.,151,14
писанина,ім.,151,14
установчий,прикм.,151,14
калач,ім.,151,14
Коноваленко,прізв.,151,14
коровай,ім.,151,14
розвал,ім.,151,14
звитяжний,прикм.,151,14
качур,ім.,151,14
п'ятак,ім.,151,14
знервований,д-прикм.,151,14
крякати,діє. н.в.,151,14
митник,ім.,151,14
туніка,ім.,151,14
розворушити,діє. д.в.,151,14
цимбали,ім.,151,14
допитати,діє. д.в.,151,14
досадно,присл.,151,14
штик,ім.,151,14
артилерист,ім.,151,14
історіографія,ім.,151,14
правильність,ім.,151,14
напнути,діє. д.в.,151,14
позаторік,присл.,151,14
січа,ім.,151,14
найяскравіший,прикм.,151,14
вилучити,діє. д.в.,151,14
плавний,прикм.,151,14
ротик,ім.,151,14
виправитися,діє. д.в.,151,14
перевертень,ім.,151,14
мстити,діє. н.в.,151,14
зловживати,діє. н.в.,151,14
тютюнник,ім.,151,14
складання,ім.,151,14
осмислити,діє. д.в.,151,14
ружинський,прикм.,151,14
шлейф,ім.,151,14
заступництво,ім.,151,14
збагачення,ім.,151,14
козячий,прикм.,151,14
литвин,ім.,151,14
спроможність,ім.,151,14
підійняти,діє. д.в.,151,14
упевненість,ім.,151,14
кремінь,ім.,151,14
рипіння,ім.,151,14
розведений,д-прикм.,151,14
поворушитися,діє. д.в.,151,14
дивовижа,ім.,151,14
іранський,прикм.,150,14
фрак,ім.,150,14
позов,ім.,150,14
підперезаний,д-прикм.,150,14
стулка,ім.,150,14
світоглядний,прикм.,150,14
почин,ім.,150,14
палений,д-прикм.,150,14
збагачувати,діє. н.в.,150,14
Алла,ім.,150,14
сполошитися,діє. д.в.,150,14
сахатися,діє. н.в.,150,14
шпигунський,прикм.,150,14
блудити,діє. н.в.,150,14
комічний,прикм.,150,14
ню,ім.,150,14
ментальність,ім.,150,14
відтворення,ім.,150,14
цапа,присл.,150,14
неподільний,прикм.,150,14
калитка,ім.,150,14
напівзруйнований,прикм.,150,14
лаконічний,прикм.,150,14
компенсувати,діє. н.д.в.,150,14
повір'я,ім.,150,14
вбиральня,ім.,150,14
гайвороння,ім.,150,14
риск,ім.,150,14
чулий,прикм.,150,14
Чорновіл,прізв.,150,14
навальний,прикм.,150,14
добутий,д-прикм.,150,14
осадчий,ім.,150,14
навіяти,діє. д.в.,150,14
карма,ім.,150,14
обставлений,д-прикм.,150,14
ряст,ім.,150,14
олов'яний,прикм.,150,14
стабільний,прикм.,150,14
пленум,ім.,150,14
лій,ім.,150,14
непросто,присл.,150,14
зарані,присл.,150,14
Гера,ім.,150,14
розпис,ім.,150,14
свастика,ім.,150,14
заіскритися,діє. д.в.,150,14
Цимбалюк,прізв.,150,14
Ірма,ім.,150,14
гребувати,діє. н.в.,150,14
передок,ім.,150,14
закручувати,діє. н.в.,150,14
зрушення,ім.,150,14
премудрість,ім.,150,14
курний,прикм.,150,14
батько-мати,ім.,150,14
аморальний,прикм.,150,14
зміняти,діє. д.в.,150,14
трюк,ім.,150,14
кошмарний,прикм.,150,14
довгоногий,прикм.,150,14
безбожник,ім.,150,14
запланувати,діє. д.в.,150,14
відмовчуватися,діє. н.в.,150,14
череп'яний,прикм.,150,14
лопнути,діє. д.в.,150,14
заскиглити,діє. д.в.,150,14
скам'янілий,д-прикм.,150,14
заміжжя,ім.,150,14
збіговисько,ім.,150,14
дебати,ім.,150,14
роззявляти,діє. н.в.,150,14
півхвилини,ім.,150,14
торжище,ім.,150,14
дозволений,д-прикм.,150,14
лавровий,прикм.,150,14
здригнути,діє. д.в.,150,14
звузитися,діє. д.в.,150,14
випещений,д-прикм.,149,14
уособлювати,діє. н.в.,149,14
неповнолітній,прикм.,149,14
цитрон,ім.,149,14
шпурляти,діє. н.в.,149,14
печеня,ім.,149,14
Нант,ім.,149,14
нетривкий,прикм.,149,14
баланс,ім.,149,14
ненадійний,прикм.,149,14
лагідніший,прикм.,149,14
людолов,ім.,149,14
загортати,діє. н.в.,149,14
Некрасов,прізв.,149,14
ліжечко,ім.,149,14
крадій,ім.,149,14
пекуче,присл.,149,14
вверх,присл.,149,14
щиток,ім.,149,14
Херсонщина,ім.,149,14
Гаральд,ім.,149,14
мандрівець,ім.,149,14
неофіційний,прикм.,149,14
розстелений,д-прикм.,149,14
характерно,присл.,149,14
Кравченко,прізв.,149,14
весь,ім.,149,14
змійка,ім.,149,14
невчасно,присл.,149,14
боржник,ім.,149,14
монумент,ім.,149,14
купно,присл.,149,14
причілок,ім.,149,14
кочовик,ім.,149,14
лебединський,прикм.,149,14
розжитися,діє. д.в.,149,14
водиця,ім.,149,14
політв'язень,ім.,149,14
затаєний,д-прикм.,149,14
живчик,ім.,149,14
гніздитися,діє. н.в.,149,14
тіснота,ім.,149,14
виповісти,діє. д.в.,149,14
омивати,діє. н.в.,149,14
почвара,ім.,149,14
престиж,ім.,149,14
манекен,ім.,149,14
Спиридонович,ім.,149,14
оберегти,діє. д.в.,149,14
саботаж,ім.,149,14
втихомиритися,діє. д.в.,149,14
азіатський,прикм.,149,14
небуденний,прикм.,149,14
інтересно,присл.,149,14
наслухати,діє. н.в.,149,14
загнути,діє. д.в.,149,14
натискувати,діє. н.в.,149,14
обростати,діє. н.в.,149,14
дизель,ім.,149,14
розстебнутий,д-прикм.,149,14
комонник,ім.,148,14
кріпацтво,ім.,148,14
кишенька,ім.,148,14
елегантно,присл.,148,14
підбитися,діє. д.в.,148,14
зіпхнути,діє. д.в.,148,14
агонія,ім.,148,14
підтекст,ім.,148,14
флакон,ім.,148,14
Мирослав,ім.,148,14
злизати,діє. д.в.,148,14
зірко,присл.,148,14
ярмарковий,прикм.,148,14
виштовхувати,діє. н.в.,148,14
жандармський,прикм.,148,14
поласувати,діє. д.в.,148,14
холодніший,прикм.,148,14
гіпнотизувати,діє. н.в.,148,14
фе,вигук,148,14
бібліотекарка,ім.,148,14
хіть,ім.,148,14
колотитися,діє. н.в.,148,14
Каганович,прізв.,148,14
містифікація,ім.,148,14
різанина,ім.,148,14
піддержувати,діє. н.в.,148,14
феноменальний,прикм.,148,14
приступка,ім.,148,14
винищувач,ім.,148,14
транспарант,ім.,148,14
невільницький,прикм.,148,14
таверна,ім.,148,14
канадський,прикм.,148,14
кряж,ім.,148,14
влипнути,діє. д.в.,148,14
холоша,ім.,148,14
колективізація,ім.,148,14
лютість,ім.,148,14
найпевніший,прикм.,148,14
блювати,діє. н.в.,148,14
готичний,прикм.,148,14
щомісяця,присл.,148,14
злодійський,прикм.,148,14
перегар,ім.,148,14
брухт,ім.,148,14
ощасливити,діє. д.в.,148,14
так-сяк,присл.,148,14
вітка,ім.,148,14
нездара,ім.,148,14
піщинка,ім.,148,14
самозванець,ім.,148,14
мікроорганізм,ім.,148,14
константинопольський,прикм.,148,14
мило,ім.,148,14
тріумфальний,прикм.,148,14
плоский,прикм.,148,14
бридко,присл.,148,14
белькотіти,діє. н.в.,148,14
улус,ім.,148,14
зберігання,ім.,148,14
пухир,ім.,148,14
шанувальник,ім.,148,14
Бродський,прізв.,148,14
арієць,ім.,148,14
брязкати,діє. н.в.,148,14
розсудливо,присл.,148,14
геройство,ім.,148,14
Нептун,ім.,148,14
слабко,присл.,148,14
вітамін,ім.,148,14
росяний,прикм.,148,14
вирішений,д-прикм.,147,14
лляний,прикм.,147,14
Устим,ім.,147,14
зрив,ім.,147,14
голодомор,ім.,147,14
навіювати,діє. н.в.,147,14
розроблений,д-прикм.,147,14
розетка,ім.,147,14
то-то,частка,147,14
наготувати,діє. д.в.,147,14
орач,ім.,147,14
генерація,ім.,147,14
козарлюга,ім.,147,14
тирада,ім.,147,14
розмазувати,діє. н.в.,147,14
випхати,діє. д.в.,147,14
кіска,ім.,147,14
уклін,ім.,147,14
Каміла,ім.,147,14
повмирати,діє. д.в.,147,14
обсипаний,д-прикм.,147,14
твань,ім.,147,14
питомий,прикм.,147,14
лагодитися,діє. н.в.,147,14
Міхновський,прізв.,147,14
загальнолюдський,прикм.,147,14
доторкатися,діє. н.в.,147,14
збудитися,діє. д.в.,147,14
бактерія,ім.,147,14
придумувати,діє. н.в.,147,14
лозунг,ім.,147,14
учнівський,прикм.,147,14
вищезгаданий,прикм.,147,14
кума,ім.,147,14
ґрунтовний,прикм.,147,14
воронячий,прикм.,147,14
мрійник,ім.,147,14
виховний,прикм.,147,14
рукоятка,ім.,147,14
полудневий,прикм.,147,14
випрошувати,діє. н.в.,147,14
Мороз,прізв.,147,14
уміло,присл.,147,14
антивірус,ім.,147,14
означений,д-прикм.,147,14
шаліти,діє. н.в.,147,14
електроніка,ім.,147,14
любчик,ім.,147,14
вдягнути,діє. д.в.,147,14
кожум'яка,ім.,147,14
обгортка,ім.,147,14
презентація,ім.,147,14
сурмити,діє. н.в.,147,14
лісництво,ім.,147,14
поділятися,діє. н.в.,147,14
забажатися,діє. д.в.,147,14
перехитрити,діє. д.в.,147,14
чіткіше,присл.,147,14
одноповерховий,прикм.,147,14
натирати,діє. н.в.,147,14
спорожніти,діє. д.в.,147,14
засадити,діє. д.в.,146,14
ізолювати,діє. н.д.в.,146,14
таміл,ім.,146,14
воєдино,присл.,146,14
заїкатися,діє. н.в.,146,14
намислити,діє. д.в.,146,14
відпадати,діє. н.в.,146,14
викрадати,діє. н.в.,146,14
поживитися,діє. д.в.,146,14
блондин,ім.,146,14
наостанку,присл.,146,14
голити,діє. н.в.,146,14
розгрібати,діє. н.в.,146,14
вступитися,діє. д.в.,146,14
супитися,діє. н.в.,146,14
динамік,ім.,146,14
анонімний,прикм.,146,14
конвалія,ім.,146,14
заповзати,діє. н.в.,146,14
вибалок,ім.,146,14
змішувати,діє. н.в.,146,14
побрати,діє. д.в.,146,14
пролог,ім.,146,14
навертати,діє. н.в.,146,14
конюшина,ім.,146,14
вболівати,діє. н.в.,146,14
перемішаний,д-прикм.,146,14
флігель,ім.,146,14
ляпати,діє. н.в.,146,14
сага,ім.,146,14
пристойність,ім.,146,14
череватий,прикм.,146,14
вирізка,ім.,146,14
поселянин,ім.,146,14
збиткуватися,діє. н.в.,146,14
Бориспіль,ім.,146,14
вилитий,д-прикм.,146,14
кокон,ім.,146,14
абзац,ім.,146,14
гладінь,ім.,146,14
Філадельфія,ім.,146,14
більярдний,прикм.,146,14
художниця,ім.,146,14
розрубати,діє. д.в.,146,14
тест,ім.,146,14
виповнити,діє. д.в.,146,14
математик,ім.,146,14
катеринка,ім.,146,14
скоморох,ім.,146,14
примирення,ім.,146,14
з'їхатися,діє. д.в.,146,14
скеровувати,діє. н.в.,146,14
обвивати,діє. н.в.,146,14
обпалений,д-прикм.,146,14
недобиток,ім.,146,14
кручений,д-прикм.,146,14
передостанній,прикм.,146,14
геніальність,ім.,146,14
улесливий,прикм.,146,14
самозбереження,ім.,146,14
Чехословаччина,ім.,146,14
пожалітися,діє. д.в.,146,14
навівати,діє. н.в.,146,14
доброзичливість,ім.,146,14
кріпитися,діє. н.в.,146,14
бродяга,ім.,146,14
наплечник,ім.,146,14
летючка,ім.,146,14
Нечай,прізв.,145,14
помиї,ім.,145,14
перетерпіти,діє. д.в.,145,14
блискітка,ім.,145,14
чотирикутний,прикм.,145,14
кашалот,ім.,145,14
недоїдок,ім.,145,14
Індія,ім.,145,14
льодовик,ім.,145,14
язикатий,прикм.,145,14
антрекот,ім.,145,14
голіруч,присл.,145,14
розцвітати,діє. н.в.,145,14
повернутий,д-прикм.,145,14
казання,ім.,145,14
ведмедик,ім.,145,14
багатозначний,прикм.,145,14
немудрий,прикм.,145,14
ізольований,д-прикм.,145,14
різник,ім.,145,14
верховодити,діє. н.в.,145,14
удвоє,присл.,145,14
клюнути,діє. д.в.,145,14
Джузеппе,ім.,145,14
заляканий,д-прикм.,145,14
цитадель,ім.,145,14
костел,ім.,145,14
відкинутий,д-прикм.,145,14
докторський,прикм.,145,14
обладнати,діє. д.в.,145,14
довголітній,прикм.,145,14
адресований,д-прикм.,145,14
крякнути,діє. д.в.,145,14
лівиця,ім.,145,14
святилище,ім.,145,14
витривалий,прикм.,145,14
посилення,ім.,145,14
клепка,ім.,145,14
уцілілий,д-прикм.,145,14
сиваш,ім.,145,14
виповнювати,діє. н.в.,145,14
відстояти,діє. д.в.,145,14
дядина,ім.,145,14
ескіз,ім.,145,14
батенько,ім.,145,14
неп,ім.,145,14
розчахнути,діє. д.в.,145,14
печенізький,прикм.,145,14
земелька,ім.,145,14
наймення,ім.,145,14
зготувати,діє. д.в.,145,14
Захарко,ім.,145,14
кіль,ім.,145,14
зоровий,прикм.,145,14
заточуватися,діє. н.в.,145,14
ярл,ім.,145,14
портовий,прикм.,145,14
мікроскопічний,прикм.,145,14
дзвінок,ім.,145,14
пухлина,ім.,145,14
лотерея,ім.,145,14
капітанів,прикм.,145,14
рекорд,ім.,145,14
ухвала,ім.,145,14
хватати,діє. н.в.,145,14
покришка,ім.,145,14
залякати,діє. д.в.,145,14
ямочка,ім.,145,14
нерозгаданий,прикм.,145,14
зашити,діє. д.в.,145,14
солов'їний,прикм.,145,14
квилити,діє. н.в.,145,14
відгонити,діє. д.в.,145,14
півтемрява,ім.,145,14
будильник,ім.,145,14
відділок,ім.,145,14
барліг,ім.,145,14
розплющитися,діє. д.в.,145,14
стрінути,діє. д.в.,145,14
графин,ім.,145,14
атмосферний,прикм.,145,14
австралійський,прикм.,145,14
Кіндратович,ім.,145,14
Малоросія,ім.,144,14
розстелити,діє. д.в.,144,14
стамбульський,прикм.,144,14
сокирка,ім.,144,14
Дмитрівна,ім.,144,14
звірюка,ім.,144,14
федеративний,прикм.,144,14
страхатися,діє. н.в.,144,14
конячка,ім.,144,14
сторопіти,діє. д.в.,144,14
марсіанський,прикм.,144,14
пікантний,прикм.,144,14
широчезний,прикм.,144,14
склепити,діє. д.в.,144,14
билинний,прикм.,144,14
вичерпуватися,діє. н.в.,144,14
етикетка,ім.,144,14
детектор,ім.,144,14
бідненький,прикм.,144,14
невід,ім.,144,14
митниця,ім.,144,14
баюра,ім.,144,14
залицяння,ім.,144,14
скакун,ім.,144,14
будівник,ім.,144,14
розміщений,д-прикм.,144,14
причалити,діє. д.в.,144,14
еллінський,прикм.,144,14
Гомер,ім.,144,14
пантрувати,діє. н.в.,144,14
врізнобіч,присл.,144,14
какао,ім.,144,14
пискнути,діє. д.в.,144,14
сумирно,присл.,144,14
обмежити,діє. д.в.,144,14
розтуляти,діє. н.в.,144,14
закувати,діє. д.в.,144,14
перекреслити,діє. д.в.,144,14
цеп,ім.,144,14
шахрайство,ім.,144,14
розчахнутий,д-прикм.,144,14
ідіотка,ім.,144,14
опочивальня,ім.,144,14
пересунути,діє. д.в.,144,14
надягти,діє. д.в.,144,14
одержимий,прикм.,144,14
погамувати,діє. д.в.,144,14
смілий,прикм.,144,14
уривчасто,присл.,144,14
підливати,діє. н.в.,144,14
присипати,діє. н.в.,144,14
пластинка,ім.,144,14
розчервонітися,діє. д.в.,144,14
узор,ім.,144,14
приблизний,прикм.,144,14
немилий,прикм.,144,14
закопилити,діє. д.в.,144,14
Яніна,ім.,144,14
бариня,ім.,144,14
Приходько,прізв.,144,14
безоглядний,прикм.,144,14
бундючний,прикм.,144,14
заручитися,діє. д.в.,144,14
тренуватися,діє. н.в.,144,14
розпочатий,д-прикм.,144,14
недурно,присл.,144,14
висмоктати,діє. д.в.,143,14
рівночасно,присл.,143,14
танго,ім.,143,14
злото,ім.,143,14
застрілити,діє. д.в.,143,14
акторка,ім.,143,14
десантний,прикм.,143,14
збережений,д-прикм.,143,14
вилежуватися,діє. н.в.,143,14
наостанок,присл.,143,14
умивальник,ім.,143,14
вектор,ім.,143,14
прослухати,діє. д.в.,143,14
шахтарський,прикм.,143,14
розізлитися,діє. д.в.,143,14
непристойно,присл.,143,14
навскіс,присл.,143,14
освячений,д-прикм.,143,14
чепіга,ім.,143,14
викрик,ім.,143,14
частковий,прикм.,143,14
поздоровкатися,діє. д.в.,143,14
плед,ім.,143,14
змахувати,діє. н.в.,143,14
гнобитель,ім.,143,14
подибати,діє. д.в.,143,14
прозаїк,ім.,143,14
просвіток,ім.,143,14
перестрілка,ім.,143,14
біловолосий,прикм.,143,14
обвід,ім.,143,14
бочка,ім.,143,14
захиститися,діє. д.в.,143,14
обурювати,діє. н.в.,143,14
обізнаність,ім.,143,14
пробі,вигук,143,14
Кир,ім.,143,14
промах,ім.,143,14
заклекотіти,діє. д.в.,143,14
травиця,ім.,143,14
поганин,ім.,143,14
віно,ім.,143,14
ратище,ім.,143,14
безформний,прикм.,143,14
зарізяка,ім.,143,14
вселяти,діє. н.в.,143,14
голо,присл.,143,14
сопка,ім.,143,14
запищати,діє. д.в.,143,14
департамент,ім.,143,14
бай,вигук,143,14
дверці,ім.,143,14
санкція,ім.,143,14
рейвах,ім.,143,14
змилосердитися,діє. д.в.,143,14
сапати,діє. н.в.,143,14
купляти,діє. н.в.,143,14
розкопати,діє. д.в.,143,14
дитсадок,ім.,143,14
ажурний,прикм.,143,14
Роговцев,прізв.,143,14
бичачий,прикм.,143,14
дрохва,ім.,143,14
міхур,ім.,143,14
розпорядник,ім.,143,14
якнайдалі,присл.,143,14
веретено,ім.,143,14
безбожний,прикм.,143,14
поскрипувати,діє. н.в.,143,14
засмучувати,діє. н.в.,143,14
наловити,діє. д.в.,143,14
п'яничка,ім.,143,14
обліплений,д-прикм.,143,14
Олексіївна,ім.,143,14
рясніти,діє. н.в.,143,14
доцільний,прикм.,143,14
мерзлякувато,присл.,143,14
рішучо,присл.,143,14
каталог,ім.,143,14
нектар,ім.,143,14
обґрунтувати,діє. д.в.,143,14
панікувати,діє. н.в.,143,14
олово,ім.,143,14
заведений,д-прикм.,143,14
замашний,прикм.,143,14
шеляг,ім.,143,14
розкішно,присл.,143,14
волинець,ім.,142,14
цісарський,прикм.,142,14
сп'яніння,ім.,142,14
вбитий,д-прикм.,142,14
сухота,ім.,142,14
вирити,діє. д.в.,142,14
лукавити,діє. н.в.,142,14
щедрота,ім.,142,14
укріплений,д-прикм.,142,14
інфразвук,ім.,142,14
жалісливий,прикм.,142,14
надолужити,діє. д.в.,142,14
назбиратися,діє. д.в.,142,14
втиснути,діє. д.в.,142,14
святково,присл.,142,14
виголений,д-прикм.,142,14
черепиця,ім.,142,14
хутірець,ім.,142,14
стиснений,д-прикм.,142,14
шалик,ім.,142,14
